Date,Y_Total,D_Total,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,WINDTEMP_MAX_C,SUNHOUR,hollyday
2020-03-12,550.0,550.0,17,14,10,0.1,80,28.0,17,13,11.5,0.4
2020-03-13,9882.0,3738.0,16,13,22,0.5,75,34.0,16,11,11.5,0.4
2020-03-14,3951.0,642.0,17,11,10,0.0,55,3.75,17,11,11.6,0.4
2020-03-15,28114.0,1462.0,14,11,31,0.0,75,22.375,14,9,11.6,0.4
2020-03-16,50118.0,4371.0,14,13,34,0.0,71,61.25,14,10,8.8,0.4
2020-03-17,62546.0,2256.0,16,12,13,0.0,64,24.75,16,11,11.6,0.4
2020-03-18,41725.0,2197.0,17,14,10,0.0,72,5.75,17,13,11.6,0.4
2020-03-19,37393.0,1413.0,17,14,9,0.0,67,6.5,17,14,11.6,0.4
2020-03-20,31459.0,795.0,15,12,15,0.0,73,3.25,15,11,11.6,0.4
2020-03-21,16364.0,308.0,15,12,10,0.0,70,8.625,15,12,11.6,0.4
2020-03-22,25129.0,241.0,15,12,13,0.0,71,14.625,15,11,11.6,0.4
2020-03-23,43312.0,952.0,14,12,28,0.1,74,59.0,14,9,6.3,0.4
2020-03-24,44744.0,714.0,11,8,28,1.4,78,90.5,11,5,6.3,0.4
2020-03-25,55881.0,1293.0,11,7,19,1.9,67,41.0,11,5,10.3,0.4
2020-03-26,57838.0,1342.0,12,7,18,12.1,79,46.5,12,3,11.6,0.4
2020-03-27,89815.0,2056.0,13,10,13,0.0,62,46.875,13,9,10.3,0.4
2020-03-28,61606.0,952.0,15,12,14,0.0,70,47.125,15,12,11.6,0.4
2020-03-29,20956.0,220.0,17,14,21,2.4,66,44.0,17,13,7.7,0.4
2020-03-30,42744.0,608.0,14,10,10,0.0,60,38.5,14,9,11.6,0.4
2020-03-31,44243.0,679.0,13,9,26,0.5,80,50.25,13,5,10.3,0.4
2020-04-01,22956.0,506.0,12,11,24,0.2,67,62.0,12,8,9.0,0.4
2020-04-02,82182.0,1297.0,12,10,17,0.0,71,30.5,12,9,11.6,0.4
2020-04-03,36479.0,692.0,17,12,9,0.0,59,14.75,17,11,11.6,0.4
2020-04-04,50022.0,718.0,15,12,14,0.0,69,0.625,15,11,11.6,0.4
2020-04-05,50945.0,413.0,15,13,23,0.0,74,1.0,15,11,11.6,0.4
2020-04-06,64906.0,716.0,16,13,17,0.0,67,9.75,16,11,11.6,0.4
2020-04-07,66870.0,740.0,17,14,15,0.0,69,5.75,17,13,11.6,0.4
2020-04-08,82912.0,1258.0,17,14,11,0.0,58,4.0,17,14,11.6,0.4
2020-04-09,71083.0,1083.0,19,16,13,0.0,50,1.0,19,16,11.6,0.4
2020-04-10,14714.0,308.0,18,16,14,0.0,57,2.75,18,15,11.6,0.4
2020-04-11,74872.0,742.0,18,16,14,0.0,64,0.875,18,16,11.6,0.4
2020-04-12,60834.0,358.0,17,14,20,0.0,68,15.25,17,13,11.6,0.4
2020-04-13,30922.0,206.0,14,13,15,10.7,87,60.75,14,12,7.9,0.4
2020-04-14,78660.0,940.0,20,15,22,0.9,59,19.375,20,15,11.6,0.4
2020-04-15,65023.0,1191.0,16,15,30,0.0,71,5.125,16,14,11.6,0.4
2020-04-16,66234.0,794.0,16,14,19,0.0,75,21.375,16,13,11.6,0.4
2020-04-17,85086.0,1156.0,15,14,16,0.0,86,61.625,15,13,6.9,0.4
2020-04-18,87012.0,857.0,17,15,9,0.1,80,59.75,17,14,9.2,0.4
2020-04-19,52900.0,193.0,14,11,15,9.3,96,91.875,14,13,6.9,0.4
2020-04-20,107120.0,782.0,15,13,15,19.6,95,96.0,16,13,6.9,0.4
2020-04-21,72101.0,373.0,15,12,14,12.9,93,87.625,15,12,6.9,0.4
2020-04-22,109860.0,1164.0,15,13,27,10.6,88,94.625,15,12,6.9,0.4
2020-04-23,74320.0,664.0,18,16,14,2.5,81,60.25,18,15,10.4,0.4
2020-04-24,76980.0,1300.0,19,16,18,0.4,83,31.875,19,16,11.6,0.4
2020-04-25,157216.0,1872.0,18,16,19,0.0,78,13.375,18,16,11.6,0.4
2020-04-26,99863.0,758.0,19,16,17,1.1,77,40.375,19,17,10.4,0.4
2020-04-27,81253.0,585.0,18,17,23,1.5,80,54.0,18,17,10.5,0.4
2020-04-28,62610.0,864.0,20,15,23,28.9,71,57.5,20,15,11.6,0.4
2020-04-29,42678.0,618.0,18,15,26,0.1,71,27.75,18,15,11.6,0.4
2020-04-30,174822.0,2094.0,18,17,22,0.6,68,56.125,18,17,7.0,0.4
2020-05-01,88528.0,180.0,18,14,22,2.1,82,55.5,18,14,8.2,0.4
2020-05-02,68271.0,750.0,20,17,26,0.3,79,52.625,20,17,9.3,0.4
2020-05-03,69744.0,651.0,24,19,21,0.0,67,12.625,25,19,11.6,0.4
2020-05-04,71170.0,841.0,21,17,17,0.0,86,6.75,22,17,11.6,0.4
2020-05-05,121260.0,1170.0,22,18,12,0.0,79,23.5,25,18,11.6,0.4
2020-05-06,74840.0,833.0,25,20,13,0.0,65,7.25,26,20,11.6,0.4
2020-05-07,25831.0,466.0,20,17,17,0.0,71,26.75,20,17,10.5,0.4
2020-05-08,131022.0,1112.0,20,18,19,0.0,83,43.5,20,18,11.6,0.4
2020-05-09,53500.0,552.0,19,17,24,0.0,83,21.375,19,17,10.5,0.4
2020-05-10,135264.0,369.0,18,13,36,27.3,88,79.25,18,13,7.2,0.4
2020-05-11,246368.0,2279.0,15,7,26,19.2,87,74.75,16,7,7.2,0.4
2020-05-12,198443.0,5236.0,18,14,12,1.8,80,61.375,18,14,13.4,0.4
2020-05-13,291334.0,4344.0,15,9,23,8.4,89,69.125,15,9,10.3,0.4
2020-05-14,150723.0,2898.0,20,17,19,3.2,85,74.375,20,17,10.3,0.4
2020-05-15,124591.0,2919.0,19,17,13,3.8,75,57.75,19,17,12.4,0.4
2020-05-16,127964.0,1780.0,20,17,13,12.6,81,69.125,20,17,11.4,0.4
2020-05-17,164860.0,2800.0,21,18,12,5.8,86,53.375,23,18,12.4,0.4
2020-05-18,272378.0,5330.0,27,18,19,0.0,64,11.125,28,18,14.5,0.4
2020-05-19,245732.0,4204.0,25,20,26,0.0,63,8.625,26,20,14.5,0.4
2020-05-20,110064.0,2424.0,25,21,24,0.0,65,7.5,26,21,14.5,0.4
2020-05-21,150485.0,1821.0,24,22,13,0.0,68,3.125,26,22,14.5,0.4
2020-05-22,77253.0,949.0,24,21,17,0.0,72,7.75,26,21,14.5,0.4
2020-05-23,198708.0,2398.0,25,18,20,2.7,73,36.5,26,18,13.5,0.4
2020-05-24,161691.0,959.0,24,19,22,0.0,54,1.125,25,19,14.5,0.4
2020-05-25,207607.0,2927.0,26,19,23,0.0,63,1.25,27,19,14.5,0.4
2020-05-26,128624.0,2207.0,25,21,18,0.0,59,1.25,26,21,14.5,0.4
2020-05-27,132744.0,2178.0,22,19,23,0.0,75,6.375,25,19,14.5,0.4
2020-05-28,364895.0,5967.0,22,20,20,0.0,68,9.125,25,20,14.5,0.4
