Date,Time,Y_Total,D_Total
12/03/2020,11,109.0,109.0
12/03/2020,14,441.0,441.0
13/03/2020,10,1921.0,385.0
13/03/2020,14,2305.0,769.0
13/03/2020,18,2822.0,1286.0
13/03/2020,18,2834.0,1298.0
14/03/2020,16,3951.0,642.0
15/03/2020,9,4492.0,50.0
15/03/2020,9,4512.0,70.0
15/03/2020,11,4567.0,125.0
15/03/2020,14,4710.0,268.0
15/03/2020,15,4825.0,383.0
15/03/2020,20,5008.0,566.0
16/03/2020,6,5097.0,14.0
16/03/2020,8,5157.0,74.0
16/03/2020,8,5176.0,93.0
16/03/2020,11,5348.0,265.0
16/03/2020,17,5748.0,665.0
16/03/2020,18,5788.0,705.0
16/03/2020,18,5836.0,753.0
16/03/2020,21,5958.0,875.0
16/03/2020,22,6010.0,927.0
17/03/2020,8,6069.0,40.0
17/03/2020,8,6109.0,80.0
17/03/2020,8,6129.0,100.0
17/03/2020,10,6216.0,187.0
17/03/2020,11,6229.0,200.0
17/03/2020,11,6249.0,220.0
17/03/2020,11,6286.0,257.0
17/03/2020,12,6319.0,290.0
17/03/2020,15,6401.0,372.0
17/03/2020,19,6539.0,510.0
18/03/2020,8,6614.0,26.0
18/03/2020,12,6729.0,141.0
18/03/2020,19,7052.0,464.0
18/03/2020,19,7064.0,476.0
18/03/2020,20,7078.0,490.0
18/03/2020,22,7188.0,600.0
19/03/2020,7,7208.0,12.0
19/03/2020,13,7380.0,184.0
19/03/2020,19,7592.0,396.0
19/03/2020,19,7601.0,405.0
19/03/2020,19,7612.0,416.0
20/03/2020,8,7689.0,23.0
20/03/2020,15,7851.0,185.0
20/03/2020,18,7953.0,287.0
20/03/2020,19,7966.0,300.0
21/03/2020,12,8106.0,78.0
21/03/2020,20,8258.0,230.0
22/03/2020,10,8317.0,21.0
22/03/2020,15,8380.0,84.0
22/03/2020,18,8432.0,136.0
23/03/2020,8,8517.0,45.0
23/03/2020,14,8648.0,176.0
23/03/2020,15,8664.0,192.0
23/03/2020,17,8705.0,233.0
23/03/2020,19,8778.0,306.0
24/03/2020,7,8826.0,20.0
24/03/2020,9,8864.0,58.0
24/03/2020,17,8989.0,183.0
24/03/2020,18,9018.0,212.0
24/03/2020,19,9047.0,241.0
25/03/2020,8,9136.0,38.0
25/03/2020,16,9298.0,200.0
25/03/2020,18,9344.0,246.0
25/03/2020,18,9356.0,258.0
25/03/2020,18,9362.0,264.0
25/03/2020,19,9385.0,287.0
26/03/2020,7,9432.0,16.0
26/03/2020,16,9592.0,176.0
26/03/2020,19,9687.0,271.0
26/03/2020,19,9694.0,278.0
26/03/2020,20,9713.0,297.0
26/03/2020,20,9720.0,304.0
27/03/2020,8,9795.0,44.0
27/03/2020,16,9963.0,212.0
27/03/2020,17,9977.0,226.0
27/03/2020,17,9990.0,239.0
27/03/2020,17,9992.0,241.0
27/03/2020,17,9999.0,248.0
27/03/2020,17,10008.0,257.0
27/03/2020,18,10016.0,265.0
27/03/2020,19,10075.0,324.0
28/03/2020,8,10122.0,13.0
28/03/2020,13,10218.0,109.0
28/03/2020,16,10274.0,165.0
28/03/2020,19,10325.0,216.0
28/03/2020,19,10327.0,218.0
28/03/2020,19,10340.0,231.0
29/03/2020,15,10441.0,73.0
29/03/2020,20,10515.0,147.0
30/03/2020,8,10567.0,33.0
30/03/2020,13,10665.0,131.0
30/03/2020,15,10715.0,181.0
30/03/2020,18,10797.0,263.0
31/03/2020,8,10938.0,47.0
31/03/2020,10,10970.0,79.0
31/03/2020,19,11162.0,271.0
31/03/2020,19,11173.0,282.0
01/04/2020,18,11462.0,237.0
01/04/2020,19,11494.0,269.0
02/04/2020,8,11599.0,44.0
02/04/2020,12,11675.0,120.0
02/04/2020,13,11700.0,145.0
02/04/2020,14,11718.0,163.0
02/04/2020,16,11767.0,212.0
02/04/2020,18,11855.0,300.0
02/04/2020,19,11868.0,313.0
03/04/2020,9,12009.0,80.0
03/04/2020,17,12178.0,249.0
03/04/2020,19,12292.0,363.0
04/04/2020,11,12404.0,78.0
04/04/2020,14,12452.0,126.0
04/04/2020,18,12567.0,241.0
04/04/2020,19,12599.0,273.0
05/04/2020,10,12663.0,30.0
05/04/2020,12,12698.0,65.0
05/04/2020,17,12748.0,115.0
05/04/2020,22,12836.0,203.0
06/04/2020,6,12845.0,7.0
06/04/2020,8,12866.0,28.0
06/04/2020,11,12932.0,94.0
06/04/2020,17,13111.0,273.0
06/04/2020,19,13152.0,314.0
07/04/2020,8,13256.0,30.0
07/04/2020,11,13346.0,120.0
07/04/2020,12,13368.0,142.0
07/04/2020,13,13379.0,153.0
07/04/2020,18,13521.0,295.0
08/04/2020,8,13644.0,35.0
08/04/2020,12,13743.0,134.0
08/04/2020,13,13780.0,171.0
08/04/2020,17,13858.0,249.0
08/04/2020,18,13897.0,288.0
08/04/2020,20,13990.0,381.0
09/04/2020,8,14038.0,38.0
09/04/2020,11,14098.0,98.0
09/04/2020,17,14275.0,275.0
09/04/2020,18,14327.0,327.0
09/04/2020,19,14345.0,345.0
10/04/2020,18,14714.0,308.0
11/04/2020,9,14854.0,28.0
11/04/2020,11,14886.0,60.0
11/04/2020,16,14984.0,158.0
11/04/2020,18,15047.0,221.0
11/04/2020,20,15101.0,275.0
12/04/2020,10,15152.0,33.0
12/04/2020,12,15196.0,77.0
12/04/2020,12,15200.0,81.0
12/04/2020,18,15286.0,167.0
13/04/2020,12,15425.0,67.0
13/04/2020,18,15497.0,139.0
14/04/2020,7,15555.0,11.0
14/04/2020,10,15626.0,82.0
14/04/2020,11,15642.0,98.0
14/04/2020,19,15917.0,373.0
14/04/2020,19,15920.0,376.0
15/04/2020,13,16117.0,159.0
15/04/2020,18,16271.0,313.0
15/04/2020,19,16302.0,344.0
15/04/2020,20,16333.0,375.0
16/04/2020,8,16404.0,44.0
16/04/2020,11,16492.0,132.0
16/04/2020,14,16562.0,202.0
16/04/2020,20,16776.0,416.0
17/04/2020,9,16867.0,81.0
17/04/2020,9,16869.0,83.0
17/04/2020,14,17002.0,216.0
17/04/2020,19,17143.0,357.0
17/04/2020,20,17205.0,419.0
18/04/2020,9,17254.0,23.0
18/04/2020,11,17298.0,67.0
18/04/2020,12,17342.0,111.0
18/04/2020,20,17555.0,324.0
18/04/2020,21,17563.0,332.0
19/04/2020,10,17593.0,24.0
19/04/2020,11,17596.0,27.0
19/04/2020,20,17711.0,142.0
20/04/2020,12,17796.0,73.0
20/04/2020,14,17833.0,110.0
20/04/2020,16,17850.0,127.0
20/04/2020,16,17852.0,129.0
20/04/2020,18,17887.0,164.0
20/04/2020,19,17902.0,179.0
21/04/2020,7,17938.0,6.0
21/04/2020,12,17997.0,65.0
21/04/2020,18,18058.0,126.0
21/04/2020,20,18108.0,176.0
22/04/2020,13,18214.0,98.0
22/04/2020,14,18229.0,113.0
22/04/2020,15,18255.0,139.0
22/04/2020,18,18349.0,233.0
22/04/2020,20,18405.0,289.0
22/04/2020,21,18408.0,292.0
23/04/2020,8,18450.0,36.0
23/04/2020,11,18515.0,101.0
23/04/2020,11,18516.0,102.0
23/04/2020,19,18839.0,425.0
24/04/2020,12,19091.0,171.0
24/04/2020,14,19126.0,206.0
24/04/2020,20,19373.0,453.0
24/04/2020,20,19390.0,470.0
25/04/2020,9,19455.0,37.0
25/04/2020,12,19531.0,113.0
25/04/2020,12,19539.0,121.0
25/04/2020,14,19579.0,161.0
25/04/2020,19,19744.0,326.0
25/04/2020,20,19781.0,363.0
25/04/2020,20,19786.0,368.0
25/04/2020,21,19801.0,383.0
26/04/2020,11,19871.0,50.0
26/04/2020,13,19917.0,96.0
26/04/2020,13,19942.0,121.0
26/04/2020,15,19984.0,163.0
26/04/2020,21,20149.0,328.0
27/04/2020,6,20175.0,8.0
27/04/2020,11,20278.0,111.0
27/04/2020,12,20297.0,130.0
27/04/2020,18,20503.0,336.0
28/04/2020,10,20663.0,81.0
28/04/2020,18,20926.0,344.0
28/04/2020,21,21021.0,439.0
29/04/2020,11,21152.0,122.0
29/04/2020,20,21526.0,496.0
30/04/2020,8,21647.0,56.0
30/04/2020,11,21717.0,126.0
30/04/2020,13,21776.0,185.0
30/04/2020,15,21846.0,255.0
30/04/2020,16,21862.0,271.0
30/04/2020,18,21947.0,356.0
30/04/2020,19,21987.0,396.0
30/04/2020,20,22040.0,449.0
01/05/2020,5,22088.0,1.0
01/05/2020,6,22094.0,7.0
01/05/2020,7,22100.0,13.0
01/05/2020,14,22246.0,159.0
02/05/2020,9,22546.0,39.0
02/05/2020,13,22708.0,201.0
02/05/2020,21,23017.0,510.0
03/05/2020,11,23113.0,82.0
03/05/2020,16,23249.0,218.0
03/05/2020,19,23382.0,351.0
04/05/2020,9,23570.0,127.0
04/05/2020,13,23672.0,229.0
04/05/2020,19,23928.0,485.0
05/05/2020,7,24041.0,23.0
05/05/2020,9,24151.0,133.0
05/05/2020,13,24282.0,264.0
05/05/2020,14,24294.0,276.0
05/05/2020,17,24492.0,474.0
06/05/2020,8,24727.0,58.0
06/05/2020,11,24838.0,169.0
06/05/2020,19,25275.0,606.0
07/05/2020,18,25831.0,466.0
08/05/2020,9,26023.0,41.0
08/05/2020,9,26033.0,51.0
08/05/2020,12,26100.0,118.0
08/05/2020,19,26396.0,414.0
08/05/2020,22,26470.0,488.0
09/05/2020,11,26640.0,166.0
09/05/2020,18,26860.0,386.0
10/05/2020,8,27009.0,30.0
10/05/2020,10,27026.0,47.0
10/05/2020,15,27059.0,80.0
10/05/2020,18,27078.0,99.0
10/05/2020,20,27092.0,113.0
11/05/2020,6,27130.0,9.0
11/05/2020,10,27230.0,109.0
11/05/2020,10,27239.0,118.0
11/05/2020,13,27284.0,163.0
11/05/2020,13,27290.0,169.0
11/05/2020,19,27508.0,387.0
11/05/2020,20,27541.0,420.0
11/05/2020,20,27572.0,451.0
11/05/2020,21,27574.0,453.0
12/05/2020,8,27697.0,96.0
12/05/2020,11,27814.0,213.0
12/05/2020,19,28489.0,888.0
12/05/2020,20,28577.0,976.0
12/05/2020,20,28601.0,1000.0
12/05/2020,21,28620.0,1019.0
12/05/2020,21,28645.0,1044.0
13/05/2020,5,28708.0,9.0
13/05/2020,5,28719.0,20.0
13/05/2020,11,28901.0,202.0
13/05/2020,12,28958.0,259.0
13/05/2020,16,29215.0,516.0
13/05/2020,18,29299.0,600.0
13/05/2020,18,29321.0,622.0
13/05/2020,18,29361.0,662.0
13/05/2020,19,29407.0,708.0
13/05/2020,20,29445.0,746.0
14/05/2020,9,29704.0,139.0
