Date,Y_Total,D_Total,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,WINDTEMP_MAX_C,SUNHOUR,hollyday
2020-03-12,550.0,550.0,0.17,0.14,0.1,0.001,0.8,0.28,0.17,0.13,0.115,0.4
2020-03-13,9882.0,3738.0,0.16,0.13,0.22,0.005,0.75,0.34,0.16,0.11,0.115,0.4
2020-03-14,3951.0,642.0,0.17,0.11,0.1,0.0,0.55,0.0375,0.17,0.11,0.11599999999999999,0.4
2020-03-15,28114.0,1462.0,0.14,0.11,0.31,0.0,0.75,0.22375,0.14,0.09,0.11599999999999999,0.4
2020-03-16,50118.0,4371.0,0.14,0.13,0.34,0.0,0.71,0.6125,0.14,0.1,0.08800000000000001,0.4
2020-03-17,62546.0,2256.0,0.16,0.12,0.13,0.0,0.64,0.2475,0.16,0.11,0.11599999999999999,0.4
2020-03-18,41725.0,2197.0,0.17,0.14,0.1,0.0,0.72,0.0575,0.17,0.13,0.11599999999999999,0.4
2020-03-19,37393.0,1413.0,0.17,0.14,0.09,0.0,0.67,0.065,0.17,0.14,0.11599999999999999,0.4
2020-03-20,31459.0,795.0,0.15,0.12,0.15,0.0,0.73,0.0325,0.15,0.11,0.11599999999999999,0.4
2020-03-21,16364.0,308.0,0.15,0.12,0.1,0.0,0.7,0.08625,0.15,0.12,0.11599999999999999,0.4
2020-03-22,25129.0,241.0,0.15,0.12,0.13,0.0,0.71,0.14625,0.15,0.11,0.11599999999999999,0.4
2020-03-23,43312.0,952.0,0.14,0.12,0.28,0.001,0.74,0.59,0.14,0.09,0.063,0.4
2020-03-24,44744.0,714.0,0.11,0.08,0.28,0.013999999999999999,0.78,0.905,0.11,0.05,0.063,0.4
2020-03-25,55881.0,1293.0,0.11,0.07,0.19,0.019,0.67,0.41,0.11,0.05,0.10300000000000001,0.4
2020-03-26,57838.0,1342.0,0.12,0.07,0.18,0.121,0.79,0.465,0.12,0.03,0.11599999999999999,0.4
2020-03-27,89815.0,2056.0,0.13,0.1,0.13,0.0,0.62,0.46875,0.13,0.09,0.10300000000000001,0.4
2020-03-28,61606.0,952.0,0.15,0.12,0.14,0.0,0.7,0.47125,0.15,0.12,0.11599999999999999,0.4
2020-03-29,20956.0,220.0,0.17,0.14,0.21,0.024,0.66,0.44,0.17,0.13,0.077,0.4
2020-03-30,42744.0,608.0,0.14,0.1,0.1,0.0,0.6,0.385,0.14,0.09,0.11599999999999999,0.4
2020-03-31,44243.0,679.0,0.13,0.09,0.26,0.005,0.8,0.5025,0.13,0.05,0.10300000000000001,0.4
2020-04-01,22956.0,506.0,0.12,0.11,0.24,0.002,0.67,0.62,0.12,0.08,0.09,0.4
2020-04-02,82182.0,1297.0,0.12,0.1,0.17,0.0,0.71,0.305,0.12,0.09,0.11599999999999999,0.4
2020-04-03,36479.0,692.0,0.17,0.12,0.09,0.0,0.59,0.1475,0.17,0.11,0.11599999999999999,0.4
2020-04-04,50022.0,718.0,0.15,0.12,0.14,0.0,0.69,0.00625,0.15,0.11,0.11599999999999999,0.4
2020-04-05,50945.0,413.0,0.15,0.13,0.23,0.0,0.74,0.01,0.15,0.11,0.11599999999999999,0.4
2020-04-06,64906.0,716.0,0.16,0.13,0.17,0.0,0.67,0.0975,0.16,0.11,0.11599999999999999,0.4
2020-04-07,66870.0,740.0,0.17,0.14,0.15,0.0,0.69,0.0575,0.17,0.13,0.11599999999999999,0.4
2020-04-08,82912.0,1258.0,0.17,0.14,0.11,0.0,0.58,0.04,0.17,0.14,0.11599999999999999,0.4
2020-04-09,71083.0,1083.0,0.19,0.16,0.13,0.0,0.5,0.01,0.19,0.16,0.11599999999999999,0.4
2020-04-10,14714.0,308.0,0.18,0.16,0.14,0.0,0.57,0.0275,0.18,0.15,0.11599999999999999,0.4
2020-04-11,74872.0,742.0,0.18,0.16,0.14,0.0,0.64,0.00875,0.18,0.16,0.11599999999999999,0.4
2020-04-12,60834.0,358.0,0.17,0.14,0.2,0.0,0.68,0.1525,0.17,0.13,0.11599999999999999,0.4
2020-04-13,30922.0,206.0,0.14,0.13,0.15,0.107,0.87,0.6075,0.14,0.12,0.079,0.4
2020-04-14,78660.0,940.0,0.2,0.15,0.22,0.009000000000000001,0.59,0.19375,0.2,0.15,0.11599999999999999,0.4
2020-04-15,65023.0,1191.0,0.16,0.15,0.3,0.0,0.71,0.05125,0.16,0.14,0.11599999999999999,0.4
